,PAIR,Common Freq,f1,f1 h1,f1 h2,f1 h3,f2,f2 h1,f2 h2,f2 h3,spectroid_shift,virtual_shift,top_pitch_hz,top_pitch_harmonic,top_pitch_mel,top_pitch_distance_mel,min_ihd,max_ihd,min_ahd,max_ahd
0,1,600.0,150.0,2,3,4,100.0,4,5,6,2.268162370895581,-7.01955000865388,600.0,4.0,9.0,6.75,1.824037121340595,12.000000000000007,1.824037121340595,4.980449991346127
1,2,1200.0,150.0,6,7,8,100.0,10,11,12,0.8764691572143448,-7.01955000865388,1200.0,8.0,17.651881356865108,15.401881356865108,0.8053703503024394,4.980449991346134,0.8053703503024394,1.824037121340595
2,3,2400.0,300.0,6,7,8,240.0,8,9,10,0.5350055555552728,-3.863137138648348,2400.0,8.0,27.73376151417343,23.23376151417343,0.4877038139681531,4.980449991346134,0.4877038139681531,1.8240371213406092
3,4,3300.0,150.0,20,21,22,100.0,31,32,33,0.28010316511375777,-7.01955000865388,3300.0,22.0,32.36569603375284,30.11569603375284,0.2726409180010023,1.6500422849992162,0.2726409180010023,0.567668577340271
4,5,4800.0,80.0,58,59,60,120.0,38,39,40,-0.14947724296507658,7.01955000865388,4800.0,60.0,37.81564167148176,36.615641671481754,0.14733995734125926,0.8880069773253183,0.14733995734125926,0.3010917715539563
5,6,5700.0,150.0,36,37,38,100.0,55,56,57,0.15764506827476055,-7.01955000865388,5700.0,38.0,40.31521714971943,38.06521714971943,0.1552686684899811,0.9360301440152909,0.1552686684899811,0.3176665363342863
6,7,6480.0,80.0,79,80,81,120.0,52,53,54,-0.10969467567144875,7.01955000865388,6480.0,81.0,42.1806865286187,40.9806865286187,0.10854167523608282,0.6533734082685214,0.10854167523608282,0.2205423517782492
7,8,7200.0,300.0,22,23,24,240.0,28,29,30,0.15394461086457056,-3.863137138648348,7200.0,24.0,43.71316350027183,39.21316350027183,0.14989133019837197,1.5063705850063087,0.14989133019837197,0.586915205771362
8,9,8160.0,80.0,100,101,102,120.0,66,67,68,-0.08663744507192916,7.01955000865388,8160.0,102.0,45.53367124056871,44.333671240568705,0.08591749887438027,0.516824662702632,0.08591749887438027,0.1739948363413788
9,10,9600.0,300.0,30,31,32,240.0,38,39,40,0.11354654614285664,-3.863137138648348,9600.0,32.0,47.897521828790076,43.397521828790076,0.1113337630561233,1.1173128526977933,0.1113337630561233,0.43831051230138485
10,11,17600.0,800.0,20,21,22,586.7,28,29,30,0.22567341007246,-5.3685240958886595,17600.0,22.0,56.713814676887736,44.713814676887736,0.21943877229708164,1.651025912765192,0.21943877229708164,0.5859315780053578
11,12,15000.0,750.0,18,19,20,1500.0,8,9,10,-0.9917100537743408,12.0,15000.0,20.0,54.38880277264002,43.13880277264002,0.8880069773253183,3.863137138648341,0.9360301440152909,2.0391000173077316
12,13,12600.0,700.0,16,17,18,1260.0,8,9,10,-0.8861761067925045,10.17596287865942,12600.0,18.0,51.8528190688696,41.3528190688696,0.21506289596715078,3.863137138648341,0.21506289596715078,1.8240371213405808
13,14,11000.0,1100.0,8,9,10,2200.0,3,4,5,-2.339850002884617,12.0,11000.0,10.0,49.87757499150438,33.491280943849944,1.824037121340595,8.84358712999446,2.039100017307746,4.98044999134612
14,15,10000.0,3333.0,1,2,3,2500.0,2,3,4,3.0212813292704084,-4.978718670729592,9999.0,3.0,48.48982636326912,15.979401986098402,2.0408313379242884,19.02128132927041,2.0408313379242884,7.021281329270408
15,16,,60.0,3,4,5,50.0,4,5,6,0.8435871299944679,-3.156412870005539,300.0,5.0,4.5,3.6,0.7067242686428159,8.843587129994482,0.7067242686428159,3.156412870005539
16,17,,42.86,5,6,7,37.5,6,7,8,0.39939256757925534,-2.312895052871305,300.02,7.0,4.500299999999999,3.8573999999999993,0.35581400316607414,5.823967808480354,0.35581400316607414,2.6675549384748294
17,18,,33.33,7,8,9,30.0,8,9,10,0.23598689059498668,-1.8223058007240525,299.96999999999997,9.0,4.499549999999999,3.999599999999999,0.21679421658370757,4.352572273233044,0.21679421658370757,1.8223058007240454
18,19,,100.0,3,4,5,83.33,4,5,6,0.8428946225245966,-3.157105377475382,500.0,5.0,7.499999999999999,5.999999999999999,0.7060317611729374,8.842894622524604,0.7060317611729374,3.8624446311784766
19,20,,71.43,5,6,7,62.5,6,7,8,0.4002004417944107,-2.3120871786561423,500.01000000000005,7.0,7.5001500000000005,6.428700000000001,0.3566218773812295,5.824775682695503,0.3566218773812295,2.668362812689992
20,21,,55.56,7,8,9,50.0,8,9,10,0.23287063813570796,-1.8254220531833312,500.04,9.0,7.5005999999999995,6.667199999999999,0.21367796412442885,4.349456020773772,0.21367796412442885,2.037715085465024
21,22,,180.0,3,4,5,150.0,4,5,6,0.8435871299944893,-3.156412870005525,900.0,5.0,13.499999999999998,10.799999999999999,0.7067242686428301,8.843587129994475,0.7067242686428301,3.156412870005525
22,23,,128.6,5,6,7,112.5,6,7,8,0.39669992576797597,-2.315587694682563,900.1999999999999,7.0,13.502999999999998,11.573999999999998,0.35312136135479477,5.821275166669082,0.35312136135479477,2.664862296663543
23,24,,100.0,7,8,9,90.0,8,9,10,0.2342555699784299,-1.824037121340595,900.0,9.0,13.499999999999998,11.999999999999998,0.21506289596715078,4.350840952616508,0.21506289596715078,1.8240371213406092
24,25,,280.0,3,4,5,233.3,4,5,6,0.8411137618224274,-3.1588862381775655,1400.0,5.0,19.894015096672796,15.694015096672796,0.7042509004707824,8.841113761822442,0.7042509004707824,3.8606637704763216
25,26,,200.0,5,6,7,175.0,6,7,8,0.4005466851417765,-2.311740935308741,1400.0,7.0,19.894015096672796,16.894015096672796,0.3569681207286095,5.825121926042897,0.3569681207286095,2.3117409353087623
26,27,,155.6,7,8,9,140.0,8,9,10,0.2293098934726885,-1.8289827978463506,1400.3999999999999,9.0,19.898170239825117,17.564170239825117,0.21011721946140938,4.3458952761107525,0.21011721946140938,2.03415434080199
27,28,,440.0,3,4,5,366.7,4,5,6,0.8451609075957265,-3.1548390924042735,2200.0,5.0,26.468174204962764,19.868174204962763,0.7082980462440815,8.845160907595712,0.7082980462440815,3.1548390924042735
28,29,,314.3,5,6,7,275.0,6,7,8,0.39975977845813304,-2.3125278419923987,2200.1,7.0,26.468835329869393,21.75433532986939,0.35618121404496605,5.824335019359239,0.35618121404496605,2.6679221493537284
29,30,,244.4,7,8,9,220.0,8,9,10,0.23740355443855776,-1.8208891368804956,2199.6,9.0,26.46552940479077,22.79952940479077,0.21821088042726444,4.353988937076622,0.21821088042726444,1.8208891368804814
